,0
0,-21.0
1,-21.0
2,-21.0
3,-20.75
4,-20.6
5,-20.666666666666668
6,-20.571428571428573
7,-20.5
8,-20.333333333333332
9,-20.2
10,-20.181818181818183
11,-20.25
12,-20.076923076923077
13,-20.071428571428573
14,-20.133333333333333
15,-20.1875
16,-20.235294117647058
17,-20.22222222222222
18,-20.263157894736842
19,-20.2
20,-20.142857142857142
21,-20.136363636363637
22,-20.08695652173913
23,-20.125
24,-20.16
25,-20.153846153846153
26,-20.185185185185187
27,-20.142857142857142
28,-20.17241379310345
29,-20.166666666666668
30,-20.129032258064516
31,-20.125
32,-20.03030303030303
33,-19.970588235294116
34,-19.942857142857143
35,-19.916666666666668
36,-19.91891891891892
37,-19.92105263157895
38,-19.923076923076923
39,-19.95
40,-19.951219512195124
41,-19.976190476190474
42,-19.976744186046513
43,-19.931818181818183
44,-19.955555555555556
45,-19.956521739130434
46,-19.97872340425532
47,-20.0
48,-20.0
49,-20.0
50,-19.98
51,-19.98
52,-19.94
53,-19.94
54,-19.92
55,-19.9
56,-19.92
57,-19.88
58,-19.9
59,-19.94
60,-19.9
61,-19.88
62,-19.94
63,-19.9
64,-19.86
65,-19.86
66,-19.86
67,-19.82
68,-19.8
69,-19.78
70,-19.82
71,-19.82
72,-19.84
73,-19.84
74,-19.8
75,-19.78
76,-19.76
77,-19.8
78,-19.78
79,-19.78
80,-19.78
81,-19.78
82,-19.8
83,-19.84
84,-19.86
85,-19.9
86,-19.8
87,-19.8
88,-19.8
89,-19.76
90,-19.68
91,-19.6
92,-19.54
93,-19.54
94,-19.54
95,-19.52
96,-19.48
97,-19.46
98,-19.44
99,-19.38
