,0
0,-21.0
1,-21.0
2,-20.333333333333332
3,-20.0
4,-19.8
5,-20.0
6,-20.0
7,-20.0
8,-20.0
9,-19.8
10,-19.818181818181817
11,-19.916666666666668
12,-19.846153846153847
13,-19.785714285714285
14,-19.866666666666667
15,-19.875
16,-19.941176470588236
17,-19.944444444444443
18,-19.894736842105264
19,-19.9
20,-19.952380952380953
21,-19.90909090909091
22,-19.91304347826087
23,-19.833333333333332
24,-19.76
25,-19.807692307692307
26,-19.77777777777778
27,-19.75
28,-19.79310344827586
29,-19.8
30,-19.806451612903224
31,-19.78125
32,-19.757575757575758
33,-19.735294117647058
34,-19.685714285714287
35,-19.61111111111111
36,-19.64864864864865
37,-19.605263157894736
38,-19.58974358974359
39,-19.5
40,-19.463414634146343
41,-19.357142857142858
42,-19.302325581395348
43,-19.318181818181817
44,-19.31111111111111
45,-19.32608695652174
46,-19.361702127659573
47,-19.375
48,-19.408163265306122
49,-19.44
50,-19.4
51,-19.36
52,-19.38
53,-19.36
54,-19.3
55,-19.24
56,-19.24
57,-19.2
58,-19.18
59,-19.18
60,-19.14
61,-19.1
62,-19.08
63,-19.08
64,-19.02
65,-18.98
66,-18.94
67,-18.9
68,-18.86
69,-18.84
70,-18.8
71,-18.78
72,-18.7
73,-18.7
74,-18.72
75,-18.68
76,-18.64
77,-18.64
78,-18.56
79,-18.54
80,-18.5
81,-18.42
82,-18.42
83,-18.4
84,-18.38
85,-18.4
86,-18.34
87,-18.38
88,-18.34
89,-18.32
90,-18.26
91,-18.32
92,-18.3
93,-18.2
94,-18.16
95,-18.12
96,-18.02
97,-17.96
98,-17.82
99,-17.7
100,-17.72
101,-17.7
102,-17.6
103,-17.52
104,-17.58
105,-17.58
106,-17.52
107,-17.5
108,-17.44
109,-17.38
110,-17.36
111,-17.28
112,-17.22
113,-17.16
114,-17.14
115,-17.1
116,-17.06
117,-16.96
118,-16.92
119,-16.76
120,-16.66
121,-16.52
122,-16.52
123,-16.42
124,-16.34
125,-16.28
126,-16.24
127,-16.18
128,-16.1
129,-15.98
130,-15.92
131,-15.92
132,-15.76
133,-15.66
134,-15.56
135,-15.48
136,-15.36
137,-15.16
138,-15.06
139,-15.0
140,-14.88
141,-14.76
142,-14.66
143,-14.6
144,-14.52
145,-14.4
146,-14.26
147,-14.26
148,-14.2
149,-14.08
150,-13.96
151,-13.86
152,-13.78
153,-13.72
154,-13.54
155,-13.32
156,-13.16
157,-13.0
158,-12.82
159,-12.66
160,-12.54
161,-12.46
162,-12.36
163,-12.38
164,-12.24
165,-12.06
166,-11.82
167,-11.72
168,-11.62
169,-11.62
170,-11.54
171,-11.48
172,-11.38
173,-11.26
174,-11.04
175,-10.84
176,-10.78
177,-10.52
178,-10.42
179,-10.32
180,-10.16
181,-10.0
182,-9.9
183,-9.74
184,-9.74
185,-9.7
186,-9.58
187,-9.52
188,-9.4
189,-9.26
190,-9.28
191,-9.22
192,-9.12
193,-9.1
194,-8.98
195,-8.9
196,-8.82
197,-8.56
198,-8.46
199,-8.38
200,-8.2
201,-8.04
202,-7.96
203,-7.8
204,-7.72
205,-7.68
206,-7.54
207,-7.32
208,-7.2
209,-7.12
210,-6.98
211,-6.74
212,-6.62
213,-6.3
214,-6.18
215,-6.1
216,-5.98
217,-5.76
218,-5.58
219,-5.38
220,-5.1
221,-4.96
222,-4.7
223,-4.52
224,-4.42
225,-4.32
226,-4.02
227,-3.86
228,-3.54
229,-3.32
230,-3.14
231,-3.06
232,-2.98
233,-3.0
234,-2.78
235,-2.56
236,-2.42
237,-2.32
238,-2.16
239,-2.02
240,-1.84
241,-1.7
242,-1.54
243,-1.2
244,-1.04
245,-0.82
246,-0.58
247,-0.4
248,-0.16
249,0.1
250,0.3
251,0.58
252,0.82
253,1.0
254,1.22
255,1.48
256,1.7
257,1.9
258,2.14
259,2.38
260,2.66
261,2.84
262,3.14
263,3.28
264,3.46
265,3.74
266,3.86
267,4.0
268,4.2
269,4.44
270,4.56
271,4.8
272,4.92
273,4.98
274,5.12
275,5.32
276,5.44
277,5.5
278,5.58
279,5.66
280,5.86
281,6.16
282,6.4
283,6.78
284,7.06
285,7.18
286,7.26
287,7.4
288,7.56
289,7.76
290,8.06
291,8.36
292,8.54
293,8.62
294,8.84
295,9.06
296,9.2
297,9.28
298,9.48
299,9.52
300,9.7
301,9.8
302,9.88
303,9.98
304,10.18
305,10.26
306,10.34
307,10.36
308,10.5
309,10.68
310,10.76
311,10.74
312,10.74
313,10.88
314,11.06
315,11.06
316,11.12
317,11.06
318,11.18
319,11.26
320,11.4
321,11.4
322,11.42
323,11.5
324,11.5
325,11.56
326,11.64
327,11.74
328,11.58
329,11.8
330,11.86
331,11.96
332,12.0
333,12.06
334,12.0
335,12.18
336,12.36
337,12.58
338,12.66
339,12.64
340,12.68
341,12.68
342,12.74
343,12.8
344,12.9
345,12.8
346,12.92
347,12.98
348,12.9
349,13.02
350,13.1
351,13.14
352,13.3
353,13.42
354,13.48
355,13.5
356,13.52
357,13.54
358,13.48
359,13.36
360,13.34
361,13.54
362,13.52
363,13.56
364,13.62
365,13.66
366,13.8
367,13.98
368,14.0
369,14.08
370,14.12
371,14.06
372,14.2
373,14.26
374,14.34
375,14.44
376,14.54
377,14.64
378,14.86
379,14.74
380,14.66
381,14.58
382,14.72
383,14.76
384,14.84
385,14.82
386,14.78
387,14.78
388,14.76
389,14.88
390,14.8
391,14.82
392,14.76
393,14.86
394,14.84
395,15.0
396,14.88
397,14.9
398,15.0
399,15.0
400,14.96
401,15.0
402,14.9
403,14.86
404,14.74
405,14.8
406,14.9
407,15.0
408,14.98
409,15.06
410,15.1
411,15.08
412,15.22
413,15.2
414,15.2
415,15.22
416,15.18
417,15.18
418,15.18
419,15.04
420,15.0
421,15.18
422,15.2
423,15.22
424,15.32
425,15.34
426,15.26
427,15.28
428,15.32
429,15.34
430,15.52
431,15.62
432,15.64
433,15.62
434,15.6
435,15.66
436,15.8
437,15.84
438,15.92
439,15.94
