,0
0,-21.0
1,-21.0
2,-21.0
3,-21.0
4,-20.8
5,-20.666666666666668
6,-20.714285714285715
7,-20.625
8,-20.666666666666668
9,-20.7
10,-20.727272727272727
11,-20.666666666666668
12,-20.692307692307693
13,-20.714285714285715
14,-20.733333333333334
15,-20.75
16,-20.764705882352942
17,-20.77777777777778
18,-20.789473684210527
19,-20.7
20,-20.714285714285715
21,-20.727272727272727
22,-20.695652173913043
23,-20.541666666666668
24,-20.52
25,-20.5
26,-20.48148148148148
27,-20.321428571428573
28,-20.344827586206897
29,-20.333333333333332
30,-20.29032258064516
31,-20.28125
32,-20.242424242424242
33,-20.235294117647058
34,-20.257142857142856
35,-20.27777777777778
36,-20.2972972972973
37,-20.31578947368421
38,-20.28205128205128
39,-20.3
40,-20.317073170731707
41,-20.30952380952381
42,-20.302325581395348
43,-20.295454545454547
44,-20.31111111111111
45,-20.32608695652174
46,-20.319148936170212
47,-20.3125
48,-20.3265306122449
49,-20.34
50,-20.32
51,-20.3
52,-20.3
53,-20.26
54,-20.26
55,-20.26
56,-20.22
57,-20.22
58,-20.2
59,-20.2
60,-20.16
61,-20.14
62,-20.14
63,-20.12
64,-20.1
65,-20.08
66,-20.06
67,-20.04
68,-20.04
69,-20.06
70,-19.98
71,-19.94
72,-19.94
73,-20.0
74,-20.0
75,-19.96
76,-19.96
77,-20.0
78,-19.94
79,-19.9
80,-19.94
81,-19.92
82,-19.92
83,-19.94
84,-19.94
85,-19.86
86,-19.82
87,-19.78
88,-19.8
89,-19.8
90,-19.8
91,-19.8
92,-19.78
93,-19.8
94,-19.76
95,-19.72
96,-19.74
97,-19.76
98,-19.74
99,-19.7
