,0
0,-21.0
1,-21.0
2,-21.0
3,-20.75
4,-20.8
5,-20.833333333333332
6,-20.857142857142858
7,-20.875
8,-20.77777777777778
9,-20.7
10,-20.727272727272727
11,-20.75
12,-20.53846153846154
13,-20.428571428571427
14,-20.4
15,-20.4375
16,-20.41176470588235
17,-20.333333333333332
18,-20.31578947368421
19,-20.15
20,-20.19047619047619
21,-20.227272727272727
22,-20.217391304347824
23,-20.166666666666668
24,-20.16
25,-20.192307692307693
26,-20.185185185185187
27,-20.142857142857142
28,-20.137931034482758
29,-20.133333333333333
30,-20.161290322580644
31,-20.15625
32,-20.151515151515152
33,-20.147058823529413
34,-20.114285714285714
35,-20.13888888888889
36,-20.10810810810811
37,-20.13157894736842
38,-20.102564102564102
39,-20.1
40,-20.073170731707318
41,-20.023809523809526
42,-20.023255813953487
43,-20.045454545454547
44,-20.022222222222222
45,-19.97826086956522
46,-19.914893617021278
47,-19.916666666666668
48,-19.918367346938776
49,-19.9
50,-19.86
51,-19.84
52,-19.76
53,-19.76
54,-19.72
55,-19.7
56,-19.62
57,-19.6
58,-19.58
59,-19.6
60,-19.58
61,-19.52
62,-19.54
63,-19.54
64,-19.54
65,-19.5
66,-19.5
67,-19.48
68,-19.44
69,-19.52
70,-19.44
71,-19.4
72,-19.4
73,-19.44
74,-19.42
75,-19.38
76,-19.36
77,-19.36
78,-19.36
79,-19.34
80,-19.28
81,-19.3
82,-19.28
83,-19.26
84,-19.22
85,-19.2
86,-19.14
87,-19.12
88,-19.06
89,-19.02
90,-18.96
91,-18.92
92,-18.86
93,-18.76
94,-18.76
95,-18.76
96,-18.74
97,-18.72
98,-18.66
99,-18.64
100,-18.64
101,-18.6
102,-18.64
103,-18.6
104,-18.62
105,-18.56
106,-18.5
107,-18.46
108,-18.4
109,-18.36
110,-18.28
111,-18.32
112,-18.32
113,-18.3
114,-18.16
115,-18.08
116,-17.98
117,-17.98
118,-17.98
119,-17.78
120,-17.74
121,-17.64
122,-17.54
123,-17.46
124,-17.34
125,-17.24
126,-17.12
127,-17.0
128,-16.9
129,-16.86
130,-16.78
131,-16.68
132,-16.5
133,-16.44
134,-16.38
135,-16.26
136,-16.16
137,-16.08
138,-16.04
139,-15.96
140,-15.86
141,-15.78
142,-15.64
143,-15.5
144,-15.34
145,-15.26
146,-15.18
147,-14.98
148,-14.92
149,-14.84
150,-14.8
151,-14.76
152,-14.66
153,-14.54
154,-14.36
155,-14.34
156,-14.32
157,-14.22
158,-14.04
159,-13.9
160,-13.84
161,-13.68
162,-13.5
163,-13.4
164,-13.32
165,-13.26
166,-13.22
167,-13.14
168,-13.02
169,-13.02
170,-12.9
171,-12.78
172,-12.68
173,-12.5
174,-12.44
175,-12.38
176,-12.32
177,-12.26
178,-12.14
179,-12.06
180,-11.98
181,-11.82
182,-11.62
183,-11.5
184,-11.36
185,-11.4
186,-11.26
187,-11.22
188,-11.06
189,-11.0
190,-11.0
191,-10.98
192,-10.94
193,-10.9
194,-10.82
195,-10.78
196,-10.74
197,-10.64
198,-10.38
199,-10.14
200,-9.94
201,-9.86
202,-9.7
203,-9.6
204,-9.44
205,-9.28
206,-9.14
207,-9.16
208,-9.1
209,-8.98
210,-8.82
211,-8.72
212,-8.52
213,-8.42
214,-8.36
215,-8.34
216,-8.18
217,-8.04
218,-7.98
219,-7.82
220,-7.72
221,-7.62
222,-7.5
223,-7.4
224,-7.28
225,-7.2
226,-7.12
227,-7.06
228,-6.88
229,-6.7
230,-6.68
231,-6.64
232,-6.54
233,-6.48
234,-6.38
235,-6.24
236,-6.18
237,-6.08
238,-6.08
239,-6.02
240,-5.84
241,-5.72
242,-5.54
243,-5.34
244,-5.26
245,-5.04
246,-4.94
247,-4.68
248,-4.76
249,-4.6
250,-4.56
251,-4.4
252,-4.36
253,-4.18
254,-4.1
255,-4.02
256,-4.0
257,-3.72
258,-3.62
259,-3.5
260,-3.44
261,-3.32
262,-3.2
263,-3.1
264,-2.84
265,-2.68
266,-2.46
267,-2.26
268,-2.08
269,-2.08
270,-1.96
271,-1.9
272,-1.74
273,-1.54
274,-1.36
275,-1.08
276,-0.88
277,-0.56
278,-0.36
279,-0.3
280,0.04
281,0.32
282,0.48
283,0.72
284,0.8
285,1.12
286,1.28
287,1.6
288,1.92
289,2.1
290,2.32
291,2.54
292,2.58
293,2.68
294,2.9
295,3.04
296,3.26
297,3.36
298,3.66
299,3.74
300,4.08
301,4.28
302,4.5
303,4.54
304,4.8
305,5.02
306,5.32
307,5.3
308,5.78
309,5.98
310,6.12
311,6.18
312,6.3
313,6.4
314,6.7
315,6.88
316,6.96
317,7.16
318,7.34
319,7.36
320,7.66
321,7.72
322,7.76
323,7.82
324,7.9
325,7.94
326,8.02
327,8.12
328,8.34
329,8.36
330,8.4
331,8.5
332,8.54
333,8.78
334,8.72
335,8.98
336,8.96
337,9.0
338,9.12
339,9.1
340,9.2
341,9.34
342,9.46
343,9.64
344,9.72
345,9.78
346,9.8
347,9.8
348,9.96
349,9.96
350,9.96
351,10.06
352,10.2
353,10.3
354,10.24
355,10.2
356,10.28
357,10.36
358,10.38
359,10.32
360,10.4
361,10.54
362,10.66
363,10.66
364,10.66
365,10.6
366,10.64
367,10.62
368,10.7
369,10.82
370,10.88
371,10.98
372,11.0
373,10.96
374,10.88
375,11.04
376,10.94
377,10.96
378,10.9
379,10.98
380,11.04
381,10.96
382,10.84
383,10.8
384,10.9
385,10.84
386,10.94
387,10.9
388,10.84
389,10.96
390,10.96
391,10.92
392,10.86
393,10.88
394,10.88
395,10.98
396,10.98
397,11.06
398,11.04
399,11.02
400,11.12
401,11.08
402,11.04
403,10.98
404,11.14
405,11.22
406,11.32
407,11.22
408,11.18
409,11.26
410,11.18
411,11.3
412,11.38
413,11.46
414,11.42
415,11.48
416,11.44
417,11.5
418,11.56
419,11.56
420,11.44
421,11.34
422,11.48
423,11.64
424,11.54
425,11.56
426,11.62
427,11.66
428,11.68
429,11.66
430,11.68
431,11.74
432,11.98
