,Episode,Score,Moving Average Score (n=50)
0,0,-21.0,-21.0
1,1,-20.0,-20.5
2,2,-21.0,-20.666666666666668
3,3,-20.0,-20.5
4,4,-19.0,-20.2
5,5,-21.0,-20.333333333333332
6,6,-21.0,-20.428571428571427
7,7,-21.0,-20.5
8,8,-20.0,-20.444444444444443
9,9,-18.0,-20.2
10,10,-21.0,-20.272727272727273
11,11,-21.0,-20.333333333333332
12,12,-21.0,-20.384615384615383
13,13,-20.0,-20.357142857142858
14,14,-20.0,-20.333333333333332
15,15,-21.0,-20.375
16,16,-19.0,-20.294117647058822
17,17,-21.0,-20.333333333333332
18,18,-20.0,-20.31578947368421
19,19,-21.0,-20.35
20,20,-20.0,-20.333333333333332
21,21,-21.0,-20.363636363636363
22,22,-20.0,-20.347826086956523
23,23,-19.0,-20.291666666666668
24,24,-20.0,-20.28
25,25,-19.0,-20.23076923076923
26,26,-18.0,-20.14814814814815
27,27,-21.0,-20.178571428571427
28,28,-18.0,-20.103448275862068
29,29,-20.0,-20.1
30,30,-21.0,-20.129032258064516
31,31,-19.0,-20.09375
32,32,-19.0,-20.060606060606062
33,33,-20.0,-20.058823529411764
34,34,-20.0,-20.057142857142857
35,35,-17.0,-19.97222222222222
36,36,-19.0,-19.945945945945947
37,37,-18.0,-19.894736842105264
38,38,-20.0,-19.897435897435898
39,39,-19.0,-19.875
40,40,-20.0,-19.878048780487806
41,41,-20.0,-19.88095238095238
42,42,-20.0,-19.88372093023256
43,43,-20.0,-19.886363636363637
44,44,-21.0,-19.91111111111111
45,45,-17.0,-19.847826086956523
46,46,-19.0,-19.829787234042552
47,47,-18.0,-19.791666666666668
48,48,-18.0,-19.755102040816325
49,49,-19.0,-19.74
50,50,-20.0,-19.72
51,51,-18.0,-19.68
52,52,-19.0,-19.64
53,53,-19.0,-19.62
54,54,-21.0,-19.66
55,55,-20.0,-19.64
56,56,-19.0,-19.6
57,57,-19.0,-19.56
58,58,-18.0,-19.52
59,59,-21.0,-19.58
60,60,-19.0,-19.54
61,61,-21.0,-19.54
62,62,-20.0,-19.52
63,63,-16.0,-19.44
64,64,-18.0,-19.4
65,65,-21.0,-19.4
66,66,-18.0,-19.38
67,67,-18.0,-19.32
68,68,-21.0,-19.34
69,69,-17.0,-19.26
70,70,-17.0,-19.2
71,71,-20.0,-19.18
72,72,-18.0,-19.14
73,73,-20.0,-19.16
74,74,-19.0,-19.14
75,75,-19.0,-19.14
76,76,-20.0,-19.18
77,77,-17.0,-19.1
78,78,-18.0,-19.1
79,79,-18.0,-19.06
80,80,-20.0,-19.04
81,81,-19.0,-19.04
82,82,-19.0,-19.04
83,83,-19.0,-19.02
84,84,-17.0,-18.96
85,85,-19.0,-19.0
86,86,-17.0,-18.96
87,87,-18.0,-18.96
88,88,-19.0,-18.94
89,89,-20.0,-18.96
90,90,-19.0,-18.94
91,91,-20.0,-18.94
92,92,-19.0,-18.92
93,93,-21.0,-18.94
94,94,-17.0,-18.86
95,95,-16.0,-18.84
96,96,-17.0,-18.8
97,97,-19.0,-18.82
98,98,-19.0,-18.84
99,99,-17.0,-18.8
100,100,-20.0,-18.8
101,101,-17.0,-18.78
102,102,-15.0,-18.7
103,103,-16.0,-18.64
104,104,-17.0,-18.56
105,105,-19.0,-18.54
106,106,-16.0,-18.48
107,107,-16.0,-18.42
108,108,-17.0,-18.4
109,109,-14.0,-18.26
110,110,-16.0,-18.2
111,111,-14.0,-18.06
112,112,-17.0,-18.0
113,113,-14.0,-17.96
114,114,-14.0,-17.88
115,115,-12.0,-17.7
116,116,-13.0,-17.6
117,117,-15.0,-17.54
118,118,-17.0,-17.46
119,119,-16.0,-17.44
120,120,-14.0,-17.38
121,121,-14.0,-17.26
122,122,-14.0,-17.18
123,123,-13.0,-17.04
124,124,-15.0,-16.96
125,125,-10.0,-16.78
126,126,-13.0,-16.64
127,127,-12.0,-16.54
128,128,-18.0,-16.54
129,129,-15.0,-16.48
130,130,-15.0,-16.38
131,131,-15.0,-16.3
132,132,-18.0,-16.28
133,133,-16.0,-16.22
134,134,-13.0,-16.14
135,135,-17.0,-16.1
136,136,-17.0,-16.1
137,137,-13.0,-16.0
138,138,-10.0,-15.82
139,139,-12.0,-15.66
140,140,-9.0,-15.46
141,141,-9.0,-15.24
142,142,-11.0,-15.08
143,143,-7.0,-14.8
144,144,-12.0,-14.7
145,145,-13.0,-14.64
146,146,-10.0,-14.5
147,147,-13.0,-14.38
148,148,-12.0,-14.24
149,149,-12.0,-14.14
150,150,-7.0,-13.88
151,151,-11.0,-13.76
152,152,-8.0,-13.62
153,153,-13.0,-13.56
154,154,-11.0,-13.44
155,155,-8.0,-13.22
156,156,-6.0,-13.02
157,157,-7.0,-12.84
158,158,-10.0,-12.7
159,159,-6.0,-12.54
160,160,-7.0,-12.36
161,161,-6.0,-12.2
162,162,-5.0,-11.96
163,163,-9.0,-11.86
164,164,-11.0,-11.8
165,165,-5.0,-11.66
166,166,-10.0,-11.6
167,167,-11.0,-11.52
168,168,-11.0,-11.4
169,169,-5.0,-11.18
170,170,-5.0,-11.0
171,171,-5.0,-10.82
172,172,-10.0,-10.74
173,173,-7.0,-10.62
174,174,-8.0,-10.48
175,175,-4.0,-10.36
176,176,-8.0,-10.26
177,177,-4.0,-10.1
178,178,-5.0,-9.84
179,179,-7.0,-9.68
180,180,-4.0,-9.46
181,181,-7.0,-9.3
182,182,-11.0,-9.16
183,183,-6.0,-8.96
184,184,-6.0,-8.82
185,185,-6.0,-8.6
186,186,-9.0,-8.44
187,187,-8.0,-8.34
188,188,-8.0,-8.3
189,189,-6.0,-8.18
190,190,-5.0,-8.1
191,191,-4.0,-8.0
192,192,-7.0,-7.92
193,193,-13.0,-8.04
194,194,-5.0,-7.9
195,195,-3.0,-7.7
196,196,-6.0,-7.62
197,197,-7.0,-7.5
198,198,-5.0,-7.36
199,199,-7.0,-7.26
200,200,-6.0,-7.24
201,201,-5.0,-7.12
202,202,-2.0,-7.0
203,203,-7.0,-6.88
204,204,-8.0,-6.82
205,205,-7.0,-6.8
206,206,-9.0,-6.86
207,207,-5.0,-6.82
208,208,-6.0,-6.74
209,209,-3.0,-6.68
210,210,-9.0,-6.72
211,211,-5.0,-6.7
212,212,-5.0,-6.7
213,213,-8.0,-6.68
214,214,-8.0,-6.62
215,215,-5.0,-6.62
216,216,-8.0,-6.58
217,217,-6.0,-6.48
218,218,-9.0,-6.44
219,219,-6.0,-6.46
220,220,-4.0,-6.44
221,221,-7.0,-6.48
222,222,-10.0,-6.48
223,223,-8.0,-6.5
224,224,-3.0,-6.4
225,225,-5.0,-6.42
226,226,-3.0,-6.32
227,227,1.0,-6.22
228,228,-6.0,-6.24
229,229,-6.0,-6.22
230,230,-4.0,-6.22
231,231,-5.0,-6.18
232,232,-2.0,-6.0
233,233,-7.0,-6.02
234,234,-6.0,-6.02
235,235,-3.0,-5.96
236,236,-2.0,-5.82
237,237,-7.0,-5.8
238,238,-5.0,-5.74
239,239,-4.0,-5.7
240,240,-1.0,-5.62
241,241,-6.0,-5.66
242,242,-5.0,-5.62
243,243,-7.0,-5.5
244,244,-5.0,-5.5
245,245,-2.0,-5.48
246,246,-6.0,-5.48
247,247,1.0,-5.32
248,248,-5.0,-5.32
249,249,-3.0,-5.24
250,250,-3.0,-5.18
251,251,-6.0,-5.2
252,252,-3.0,-5.22
253,253,1.0,-5.06
254,254,-5.0,-5.0
255,255,-5.0,-4.96
256,256,-3.0,-4.84
257,257,-5.0,-4.84
258,258,-4.0,-4.8
259,259,-6.0,-4.86
260,260,-6.0,-4.8
261,261,-4.0,-4.78
262,262,-1.0,-4.7
263,263,-2.0,-4.58
264,264,-1.0,-4.44
265,265,-4.0,-4.42
266,266,-1.0,-4.28
267,267,-4.0,-4.24
268,268,-7.0,-4.2
269,269,-1.0,-4.1
270,270,-1.0,-4.04
271,271,-5.0,-4.0
272,272,-2.0,-3.84
273,273,-1.0,-3.7
274,274,-2.0,-3.68
275,275,-2.0,-3.62
276,276,-3.0,-3.62
277,277,-8.0,-3.8
278,278,-4.0,-3.76
279,279,-3.0,-3.7
280,280,-2.0,-3.66
281,281,-5.0,-3.66
282,282,-4.0,-3.7
283,283,-2.0,-3.6
284,284,-7.0,-3.62
285,285,-4.0,-3.64
286,286,3.0,-3.54
287,287,-4.0,-3.48
288,288,-6.0,-3.5
289,289,1.0,-3.4
290,290,-5.0,-3.48
291,291,-2.0,-3.4
292,292,-3.0,-3.36
293,293,-3.0,-3.28
294,294,-3.0,-3.24
295,295,-3.0,-3.26
296,296,-4.0,-3.22
297,297,-4.0,-3.32
298,298,-2.0,-3.26
299,299,-4.0,-3.28
300,300,2.0,-3.18
301,301,-2.0,-3.1
302,302,-2.0,-3.08
303,303,-2.0,-3.14
304,304,4.0,-2.96
305,305,-5.0,-2.96
306,306,-2.0,-2.94
307,307,-6.0,-2.96
308,308,-3.0,-2.94
309,309,2.0,-2.78
310,310,1.0,-2.64
311,311,-2.0,-2.6
312,312,-5.0,-2.68
313,313,-1.0,-2.66
314,314,-3.0,-2.7
315,315,3.0,-2.56
316,316,-4.0,-2.62
317,317,-7.0,-2.68
318,318,1.0,-2.52
319,319,3.0,-2.44
320,320,3.0,-2.36
321,321,-5.0,-2.36
322,322,-4.0,-2.4
323,323,-4.0,-2.46
324,324,7.0,-2.28
325,325,-1.0,-2.26
326,326,2.0,-2.16
327,327,-3.0,-2.06
328,328,-3.0,-2.04
329,329,-5.0,-2.08
330,330,-3.0,-2.1
331,331,-3.0,-2.06
332,332,-4.0,-2.06
333,333,-4.0,-2.1
334,334,-2.0,-2.0
335,335,6.0,-1.8
336,336,-4.0,-1.94
337,337,2.0,-1.82
338,338,1.0,-1.68
339,339,4.0,-1.62
340,340,2.0,-1.48
341,341,-1.0,-1.46
342,342,3.0,-1.34
343,343,3.0,-1.22
344,344,2.0,-1.12
345,345,2.0,-1.02
346,346,2.0,-0.9
347,347,5.0,-0.72
348,348,4.0,-0.6
349,349,1.0,-0.5
350,350,4.0,-0.46
351,351,8.0,-0.26
352,352,4.0,-0.14
353,353,1.0,-0.08
354,354,10.0,0.04
355,355,3.0,0.2
356,356,3.0,0.3
357,357,6.0,0.54
358,358,4.0,0.68
359,359,6.0,0.76
360,360,-5.0,0.64
361,361,2.0,0.72
362,362,5.0,0.92
363,363,8.0,1.1
364,364,2.0,1.2
365,365,6.0,1.26
366,366,2.0,1.38
367,367,7.0,1.66
368,368,6.0,1.76
369,369,10.0,1.9
370,370,13.0,2.1
371,371,9.0,2.38
372,372,9.0,2.64
373,373,-2.0,2.68
374,374,-2.0,2.5
375,375,10.0,2.72
376,376,16.0,3.0
377,377,6.0,3.18
378,378,8.0,3.4
379,379,4.0,3.58
380,380,9.0,3.82
381,381,6.0,4.0
382,382,5.0,4.18
383,383,8.0,4.42
384,384,9.0,4.64
385,385,10.0,4.72
386,386,8.0,4.96
387,387,2.0,4.96
388,388,5.0,5.04
389,389,9.0,5.14
390,390,13.0,5.36
391,391,6.0,5.5
392,392,11.0,5.66
393,393,8.0,5.76
394,394,5.0,5.82
395,395,9.0,5.96
396,396,11.0,6.14
397,397,1.0,6.06
398,398,10.0,6.18
399,399,10.0,6.36
400,400,10.0,6.48
401,401,6.0,6.44
402,402,7.0,6.5
403,403,10.0,6.68
404,404,8.0,6.64
405,405,10.0,6.78
406,406,13.0,6.98
407,407,12.0,7.1
408,408,13.0,7.28
409,409,14.0,7.44
410,410,12.0,7.78
411,411,10.0,7.94
412,412,15.0,8.14
413,413,11.0,8.2
414,414,6.0,8.28
415,415,18.0,8.52
416,416,10.0,8.68
417,417,8.0,8.7
418,418,8.0,8.74
419,419,13.0,8.8
420,420,13.0,8.8
421,421,15.0,8.92
422,422,10.0,8.94
423,423,13.0,9.24
424,424,10.0,9.48
425,425,10.0,9.48
426,426,10.0,9.36
427,427,10.0,9.44
428,428,17.0,9.62
429,429,10.0,9.74
430,430,16.0,9.88
431,431,10.0,9.96
432,432,13.0,10.12
433,433,8.0,10.12
434,434,11.0,10.16
435,435,8.0,10.12
436,436,14.0,10.24
437,437,9.0,10.38
438,438,13.0,10.54
439,439,8.0,10.52
440,440,16.0,10.58
441,441,3.0,10.52
442,442,7.0,10.44
443,443,10.0,10.48
444,444,15.0,10.68
445,445,14.0,10.78
446,446,19.0,10.94
447,447,10.0,11.12
448,448,12.0,11.16
449,449,16.0,11.28
450,450,19.0,11.46
