,Episode,Score,Moving Average Score (n=50)
0,0,-21.0,-21.0
1,1,-21.0,-21.0
2,2,-21.0,-21.0
3,3,-21.0,-21.0
4,4,-19.0,-20.6
5,5,-21.0,-20.666666666666668
6,6,-20.0,-20.571428571428573
7,7,-21.0,-20.625
8,8,-21.0,-20.666666666666668
9,9,-21.0,-20.7
10,10,-21.0,-20.727272727272727
11,11,-19.0,-20.583333333333332
12,12,-20.0,-20.53846153846154
13,13,-20.0,-20.5
14,14,-20.0,-20.466666666666665
15,15,-19.0,-20.375
16,16,-21.0,-20.41176470588235
17,17,-20.0,-20.38888888888889
18,18,-21.0,-20.42105263157895
19,19,-20.0,-20.4
20,20,-21.0,-20.428571428571427
21,21,-21.0,-20.454545454545453
22,22,-21.0,-20.47826086956522
23,23,-19.0,-20.416666666666668
24,24,-19.0,-20.36
25,25,-19.0,-20.307692307692307
26,26,-21.0,-20.333333333333332
27,27,-19.0,-20.285714285714285
28,28,-21.0,-20.310344827586206
29,29,-20.0,-20.3
30,30,-20.0,-20.29032258064516
31,31,-19.0,-20.25
32,32,-19.0,-20.21212121212121
33,33,-20.0,-20.205882352941178
34,34,-18.0,-20.142857142857142
35,35,-21.0,-20.166666666666668
36,36,-20.0,-20.16216216216216
37,37,-21.0,-20.18421052631579
38,38,-18.0,-20.128205128205128
39,39,-19.0,-20.1
40,40,-21.0,-20.121951219512194
41,41,-20.0,-20.11904761904762
42,42,-21.0,-20.13953488372093
43,43,-21.0,-20.15909090909091
44,44,-20.0,-20.155555555555555
45,45,-21.0,-20.17391304347826
46,46,-20.0,-20.170212765957448
47,47,-19.0,-20.145833333333332
48,48,-19.0,-20.122448979591837
49,49,-20.0,-20.12
50,50,-17.0,-20.04
51,51,-21.0,-20.04
52,52,-19.0,-20.0
53,53,-18.0,-19.94
54,54,-19.0,-19.94
55,55,-21.0,-19.94
56,56,-21.0,-19.96
57,57,-20.0,-19.94
58,58,-17.0,-19.86
59,59,-20.0,-19.84
60,60,-21.0,-19.84
61,61,-21.0,-19.88
62,62,-21.0,-19.9
63,63,-19.0,-19.88
64,64,-20.0,-19.88
65,65,-15.0,-19.8
66,66,-20.0,-19.78
67,67,-21.0,-19.8
68,68,-18.0,-19.74
69,69,-20.0,-19.74
70,70,-20.0,-19.72
71,71,-16.0,-19.62
72,72,-20.0,-19.6
73,73,-20.0,-19.62
74,74,-19.0,-19.62
75,75,-19.0,-19.62
76,76,-19.0,-19.58
77,77,-21.0,-19.62
78,78,-18.0,-19.56
79,79,-19.0,-19.54
80,80,-18.0,-19.5
81,81,-18.0,-19.48
82,82,-21.0,-19.52
83,83,-19.0,-19.5
84,84,-20.0,-19.54
85,85,-18.0,-19.48
86,86,-21.0,-19.5
87,87,-19.0,-19.46
88,88,-20.0,-19.5
89,89,-19.0,-19.5
90,90,-20.0,-19.48
91,91,-21.0,-19.5
92,92,-20.0,-19.48
93,93,-20.0,-19.46
94,94,-17.0,-19.4
95,95,-20.0,-19.38
96,96,-19.0,-19.36
97,97,-20.0,-19.38
98,98,-18.0,-19.36
99,99,-19.0,-19.34
100,100,-20.0,-19.4
101,101,-20.0,-19.38
102,102,-18.0,-19.36
103,103,-17.0,-19.34
104,104,-18.0,-19.32
105,105,-18.0,-19.26
106,106,-21.0,-19.26
107,107,-17.0,-19.2
108,108,-17.0,-19.2
109,109,-19.0,-19.18
110,110,-17.0,-19.1
111,111,-19.0,-19.06
112,112,-18.0,-19.0
113,113,-20.0,-19.02
114,114,-20.0,-19.02
115,115,-20.0,-19.12
116,116,-17.0,-19.06
117,117,-17.0,-18.98
118,118,-19.0,-19.0
119,119,-18.0,-18.96
120,120,-17.0,-18.9
121,121,-17.0,-18.92
122,122,-19.0,-18.9
123,123,-21.0,-18.92
124,124,-16.0,-18.86
125,125,-18.0,-18.84
126,126,-15.0,-18.76
127,127,-20.0,-18.74
128,128,-20.0,-18.78
129,129,-19.0,-18.78
130,130,-16.0,-18.74
131,131,-20.0,-18.78
132,132,-18.0,-18.72
133,133,-19.0,-18.72
134,134,-18.0,-18.68
135,135,-18.0,-18.68
136,136,-17.0,-18.6
137,137,-16.0,-18.54
138,138,-17.0,-18.48
139,139,-15.0,-18.4
140,140,-13.0,-18.26
141,141,-17.0,-18.18
142,142,-16.0,-18.1
143,143,-17.0,-18.04
144,144,-15.0,-18.0
145,145,-16.0,-17.92
146,146,-17.0,-17.88
147,147,-17.0,-17.82
148,148,-21.0,-17.88
149,149,-20.0,-17.9
150,150,-17.0,-17.84
151,151,-13.0,-17.7
152,152,-18.0,-17.7
153,153,-17.0,-17.7
154,154,-13.0,-17.6
155,155,-16.0,-17.56
156,156,-14.0,-17.42
157,157,-17.0,-17.42
158,158,-14.0,-17.36
159,159,-16.0,-17.3
160,160,-15.0,-17.26
161,161,-15.0,-17.18
162,162,-18.0,-17.18
163,163,-19.0,-17.16
164,164,-17.0,-17.1
165,165,-17.0,-17.04
166,166,-16.0,-17.02
167,167,-20.0,-17.08
168,168,-13.0,-16.96
169,169,-17.0,-16.94
170,170,-14.0,-16.88
171,171,-17.0,-16.88
172,172,-15.0,-16.8
173,173,-16.0,-16.7
174,174,-16.0,-16.7
175,175,-14.0,-16.62
176,176,-16.0,-16.64
177,177,-15.0,-16.54
178,178,-16.0,-16.46
179,179,-15.0,-16.38
180,180,-11.0,-16.28
181,181,-16.0,-16.2
182,182,-11.0,-16.06
183,183,-18.0,-16.04
184,184,-16.0,-16.0
185,185,-12.0,-15.88
186,186,-19.0,-15.92
187,187,-14.0,-15.88
188,188,-16.0,-15.86
189,189,-12.0,-15.8
190,190,-14.0,-15.82
191,191,-14.0,-15.76
192,192,-15.0,-15.74
193,193,-14.0,-15.68
194,194,-16.0,-15.7
195,195,-15.0,-15.68
196,196,-15.0,-15.64
197,197,-16.0,-15.62
198,198,-17.0,-15.54
199,199,-15.0,-15.44
200,200,-15.0,-15.4
201,201,-13.0,-15.4
202,202,-14.0,-15.32
203,203,-13.0,-15.24
204,204,-11.0,-15.2
205,205,-16.0,-15.2
206,206,-16.0,-15.24
207,207,-15.0,-15.2
208,208,-16.0,-15.24
209,209,-10.0,-15.12
210,210,-15.0,-15.12
211,211,-13.0,-15.08
212,212,-13.0,-14.98
213,213,-14.0,-14.88
214,214,-10.0,-14.74
215,215,-10.0,-14.6
216,216,-10.0,-14.48
217,217,-9.0,-14.26
218,218,-6.0,-14.12
219,219,-12.0,-14.02
220,220,-13.0,-14.0
221,221,-7.0,-13.8
222,222,-10.0,-13.7
223,223,-8.0,-13.54
224,224,-13.0,-13.48
225,225,-9.0,-13.38
226,226,-13.0,-13.32
227,227,-10.0,-13.22
228,228,-10.0,-13.1
229,229,-12.0,-13.04
230,230,-9.0,-13.0
231,231,-13.0,-12.94
232,232,-13.0,-12.98
233,233,-12.0,-12.86
234,234,-7.0,-12.68
