,Episode,Score,Moving Average Score (n=50)
0,0,-21.0,-21.0
1,1,-19.0,-20.0
2,2,-21.0,-20.333333333333332
3,3,-19.0,-20.0
4,4,-21.0,-20.2
5,5,-21.0,-20.333333333333332
6,6,-21.0,-20.428571428571427
7,7,-20.0,-20.375
8,8,-21.0,-20.444444444444443
9,9,-20.0,-20.4
10,10,-21.0,-20.454545454545453
11,11,-20.0,-20.416666666666668
12,12,-21.0,-20.46153846153846
13,13,-18.0,-20.285714285714285
14,14,-19.0,-20.2
15,15,-21.0,-20.25
16,16,-21.0,-20.294117647058822
17,17,-20.0,-20.27777777777778
18,18,-20.0,-20.263157894736842
19,19,-21.0,-20.3
20,20,-19.0,-20.238095238095237
21,21,-21.0,-20.272727272727273
22,22,-19.0,-20.217391304347824
23,23,-21.0,-20.25
24,24,-21.0,-20.28
25,25,-21.0,-20.307692307692307
26,26,-21.0,-20.333333333333332
27,27,-19.0,-20.285714285714285
28,28,-20.0,-20.275862068965516
29,29,-18.0,-20.2
30,30,-21.0,-20.225806451612904
31,31,-21.0,-20.25
32,32,-21.0,-20.272727272727273
33,33,-20.0,-20.264705882352942
34,34,-20.0,-20.257142857142856
35,35,-20.0,-20.25
36,36,-21.0,-20.27027027027027
37,37,-20.0,-20.263157894736842
38,38,-20.0,-20.256410256410255
39,39,-20.0,-20.25
40,40,-21.0,-20.26829268292683
41,41,-20.0,-20.261904761904763
42,42,-20.0,-20.25581395348837
43,43,-19.0,-20.227272727272727
44,44,-21.0,-20.244444444444444
45,45,-21.0,-20.26086956521739
46,46,-19.0,-20.23404255319149
47,47,-20.0,-20.229166666666668
48,48,-21.0,-20.244897959183675
49,49,-21.0,-20.26
50,50,-20.0,-20.24
51,51,-21.0,-20.28
52,52,-20.0,-20.26
53,53,-18.0,-20.24
54,54,-19.0,-20.2
55,55,-18.0,-20.14
56,56,-21.0,-20.14
57,57,-21.0,-20.16
58,58,-20.0,-20.14
59,59,-18.0,-20.1
60,60,-20.0,-20.08
61,61,-20.0,-20.08
62,62,-19.0,-20.04
63,63,-17.0,-20.02
64,64,-20.0,-20.04
65,65,-21.0,-20.04
66,66,-17.0,-19.96
67,67,-20.0,-19.96
68,68,-20.0,-19.96
69,69,-17.0,-19.88
70,70,-20.0,-19.9
71,71,-20.0,-19.88
72,72,-21.0,-19.92
73,73,-20.0,-19.9
74,74,-21.0,-19.9
75,75,-19.0,-19.86
76,76,-20.0,-19.84
77,77,-20.0,-19.86
78,78,-18.0,-19.82
79,79,-19.0,-19.84
80,80,-19.0,-19.8
81,81,-18.0,-19.74
82,82,-18.0,-19.68
83,83,-18.0,-19.64
84,84,-21.0,-19.66
85,85,-19.0,-19.64
86,86,-19.0,-19.6
87,87,-19.0,-19.58
88,88,-18.0,-19.54
89,89,-20.0,-19.54
90,90,-20.0,-19.52
91,91,-20.0,-19.52
92,92,-19.0,-19.5
93,93,-18.0,-19.48
94,94,-19.0,-19.44
95,95,-20.0,-19.42
96,96,-20.0,-19.44
97,97,-19.0,-19.42
98,98,-21.0,-19.42
99,99,-18.0,-19.36
100,100,-21.0,-19.38
101,101,-19.0,-19.34
102,102,-20.0,-19.34
103,103,-17.0,-19.32
104,104,-18.0,-19.3
105,105,-18.0,-19.3
106,106,-17.0,-19.22
107,107,-16.0,-19.12
108,108,-19.0,-19.1
109,109,-19.0,-19.12
110,110,-16.0,-19.04
111,111,-17.0,-18.98
112,112,-19.0,-18.98
113,113,-17.0,-18.98
114,114,-21.0,-19.0
115,115,-21.0,-19.0
116,116,-17.0,-19.0
117,117,-21.0,-19.02
118,118,-18.0,-18.98
119,119,-19.0,-19.02
120,120,-16.0,-18.94
121,121,-19.0,-18.92
122,122,-20.0,-18.9
123,123,-16.0,-18.82
124,124,-20.0,-18.8
125,125,-18.0,-18.78
126,126,-16.0,-18.7
127,127,-17.0,-18.64
128,128,-17.0,-18.62
129,129,-21.0,-18.66
130,130,-21.0,-18.7
131,131,-20.0,-18.74
132,132,-21.0,-18.8
133,133,-19.0,-18.82
134,134,-20.0,-18.8
135,135,-20.0,-18.82
136,136,-19.0,-18.82
137,137,-20.0,-18.84
138,138,-20.0,-18.88
139,139,-20.0,-18.88
140,140,-19.0,-18.86
141,141,-19.0,-18.84
142,142,-19.0,-18.84
143,143,-16.0,-18.8
144,144,-18.0,-18.78
145,145,-19.0,-18.76
146,146,-16.0,-18.68
147,147,-15.0,-18.6
148,148,-19.0,-18.56
149,149,-21.0,-18.62
150,150,-19.0,-18.58
151,151,-17.0,-18.54
152,152,-20.0,-18.54
153,153,-20.0,-18.6
154,154,-15.0,-18.54
155,155,-21.0,-18.6
156,156,-18.0,-18.62
157,157,-17.0,-18.64
158,158,-18.0,-18.62
159,159,-18.0,-18.6
160,160,-19.0,-18.66
161,161,-15.0,-18.62
162,162,-19.0,-18.62
163,163,-16.0,-18.6
164,164,-19.0,-18.56
165,165,-18.0,-18.5
166,166,-20.0,-18.56
167,167,-17.0,-18.48
168,168,-16.0,-18.44
169,169,-17.0,-18.4
170,170,-16.0,-18.4
171,171,-18.0,-18.38
172,172,-17.0,-18.32
173,173,-16.0,-18.32
174,174,-16.0,-18.24
175,175,-16.0,-18.2
176,176,-15.0,-18.18
177,177,-15.0,-18.14
178,178,-17.0,-18.14
179,179,-15.0,-18.02
180,180,-18.0,-17.96
181,181,-14.0,-17.84
182,182,-17.0,-17.76
183,183,-17.0,-17.72
184,184,-16.0,-17.64
185,185,-14.0,-17.52
186,186,-15.0,-17.44
187,187,-10.0,-17.24
188,188,-13.0,-17.1
189,189,-18.0,-17.06
190,190,-13.0,-16.94
191,191,-14.0,-16.84
