,Episode,Score,Moving Average Score (n=50)
0,0,-21.0,-21.0
1,1,-21.0,-21.0
2,2,-21.0,-21.0
3,3,-20.0,-20.75
4,4,-20.0,-20.6
5,5,-21.0,-20.666666666666668
6,6,-20.0,-20.571428571428573
7,7,-19.0,-20.375
8,8,-20.0,-20.333333333333332
9,9,-20.0,-20.3
10,10,-20.0,-20.272727272727273
11,11,-21.0,-20.333333333333332
12,12,-21.0,-20.384615384615383
13,13,-21.0,-20.428571428571427
14,14,-21.0,-20.466666666666665
15,15,-20.0,-20.4375
16,16,-21.0,-20.470588235294116
17,17,-20.0,-20.444444444444443
18,18,-20.0,-20.42105263157895
19,19,-21.0,-20.45
20,20,-20.0,-20.428571428571427
21,21,-21.0,-20.454545454545453
22,22,-21.0,-20.47826086956522
23,23,-20.0,-20.458333333333332
24,24,-19.0,-20.4
25,25,-21.0,-20.423076923076923
26,26,-21.0,-20.444444444444443
27,27,-19.0,-20.392857142857142
28,28,-20.0,-20.379310344827587
29,29,-21.0,-20.4
30,30,-20.0,-20.387096774193548
31,31,-21.0,-20.40625
32,32,-17.0,-20.303030303030305
33,33,-21.0,-20.323529411764707
34,34,-20.0,-20.314285714285713
35,35,-21.0,-20.333333333333332
36,36,-20.0,-20.324324324324323
37,37,-20.0,-20.31578947368421
38,38,-20.0,-20.307692307692307
39,39,-17.0,-20.225
40,40,-16.0,-20.121951219512194
41,41,-17.0,-20.047619047619047
42,42,-21.0,-20.069767441860463
43,43,-20.0,-20.068181818181817
44,44,-21.0,-20.08888888888889
45,45,-21.0,-20.108695652173914
46,46,-19.0,-20.085106382978722
47,47,-18.0,-20.041666666666668
48,48,-21.0,-20.06122448979592
49,49,-17.0,-20.0
50,50,-20.0,-19.98
51,51,-20.0,-19.96
52,52,-18.0,-19.9
53,53,-18.0,-19.86
54,54,-19.0,-19.84
55,55,-17.0,-19.76
56,56,-20.0,-19.76
57,57,-21.0,-19.8
58,58,-16.0,-19.72
59,59,-19.0,-19.7
60,60,-19.0,-19.68
61,61,-18.0,-19.62
62,62,-16.0,-19.52
63,63,-18.0,-19.46
64,64,-20.0,-19.44
65,65,-20.0,-19.44
66,66,-17.0,-19.36
67,67,-14.0,-19.24
68,68,-18.0,-19.2
69,69,-15.0,-19.08
70,70,-19.0,-19.06
71,71,-18.0,-19.0
72,72,-16.0,-18.9
73,73,-18.0,-18.86
74,74,-13.0,-18.74
75,75,-14.0,-18.6
76,76,-19.0,-18.56
77,77,-17.0,-18.52
78,78,-12.0,-18.36
79,79,-17.0,-18.28
80,80,-15.0,-18.18
81,81,-14.0,-18.04
82,82,-15.0,-18.0
83,83,-17.0,-17.92
84,84,-17.0,-17.86
85,85,-14.0,-17.72
86,86,-13.0,-17.58
87,87,-17.0,-17.52
88,88,-11.0,-17.34
89,89,-11.0,-17.22
90,90,-14.0,-17.18
91,91,-17.0,-17.18
92,92,-16.0,-17.08
93,93,-14.0,-16.96
94,94,-16.0,-16.86
95,95,-12.0,-16.68
96,96,-13.0,-16.56
97,97,-10.0,-16.4
98,98,-18.0,-16.34
99,99,-14.0,-16.28
100,100,-15.0,-16.18
101,101,-11.0,-16.0
102,102,-14.0,-15.92
103,103,-16.0,-15.88
104,104,-17.0,-15.84
105,105,-12.0,-15.74
106,106,-14.0,-15.62
107,107,-13.0,-15.46
108,108,-13.0,-15.4
109,109,-13.0,-15.28
110,110,-11.0,-15.12
111,111,-7.0,-14.9
112,112,-8.0,-14.74
113,113,-11.0,-14.6
114,114,-10.0,-14.4
115,115,-6.0,-14.12
116,116,-6.0,-13.9
117,117,-15.0,-13.92
118,118,-10.0,-13.76
119,119,-3.0,-13.52
120,120,-14.0,-13.42
121,121,-6.0,-13.18
122,122,-12.0,-13.1
123,123,-6.0,-12.86
124,124,-12.0,-12.84
125,125,-6.0,-12.68
126,126,-8.0,-12.46
127,127,-11.0,-12.34
128,128,-8.0,-12.26
129,129,-7.0,-12.06
130,130,-12.0,-12.0
131,131,-9.0,-11.9
132,132,-3.0,-11.66
133,133,-6.0,-11.44
134,134,-6.0,-11.22
135,135,-6.0,-11.06
136,136,-5.0,-10.9
137,137,-3.0,-10.62
138,138,-5.0,-10.5
139,139,-4.0,-10.36
140,140,-4.0,-10.16
141,141,-7.0,-9.96
142,142,-9.0,-9.82
143,143,-7.0,-9.68
144,144,3.0,-9.3
145,145,-3.0,-9.12
146,146,-4.0,-8.94
147,147,-5.0,-8.84
148,148,-5.0,-8.58
149,149,-11.0,-8.52
150,150,-4.0,-8.3
151,151,-3.0,-8.14
152,152,-3.0,-7.92
153,153,-7.0,-7.74
154,154,-8.0,-7.56
155,155,-5.0,-7.42
156,156,3.0,-7.08
157,157,-1.0,-6.84
158,158,-5.0,-6.68
159,159,-6.0,-6.54
160,160,-2.0,-6.36
161,161,2.0,-6.18
162,162,-2.0,-6.06
163,163,-4.0,-5.92
164,164,-3.0,-5.78
165,165,-3.0,-5.72
166,166,-4.0,-5.68
167,167,-5.0,-5.48
168,168,-3.0,-5.34
169,169,-4.0,-5.36
170,170,-7.0,-5.22
171,171,-2.0,-5.14
172,172,4.0,-4.82
173,173,1.0,-4.68
174,174,3.0,-4.38
175,175,2.0,-4.22
176,176,3.0,-4.0
177,177,-1.0,-3.8
178,178,4.0,-3.56
179,179,2.0,-3.38
180,180,5.0,-3.04
181,181,4.0,-2.78
182,182,5.0,-2.62
183,183,-4.0,-2.58
184,184,6.0,-2.34
185,185,4.0,-2.14
186,186,8.0,-1.88
187,187,6.0,-1.7
188,188,5.0,-1.5
189,189,8.0,-1.26
190,190,9.0,-1.0
191,191,4.0,-0.78
192,192,3.0,-0.54
193,193,6.0,-0.28
194,194,2.0,-0.3
195,195,6.0,-0.12
196,196,2.0,0.0
197,197,4.0,0.18
198,198,6.0,0.4
199,199,2.0,0.66
200,200,6.0,0.86
201,201,5.0,1.02
202,202,2.0,1.12
203,203,2.0,1.3
204,204,7.0,1.6
205,205,5.0,1.8
206,206,11.0,1.96
207,207,3.0,2.04
208,208,8.0,2.3
209,209,5.0,2.52
210,210,-5.0,2.46
211,211,6.0,2.54
212,212,6.0,2.7
213,213,7.0,2.92
214,214,13.0,3.24
215,215,4.0,3.38
216,216,10.0,3.66
217,217,5.0,3.86
218,218,3.0,3.98
219,219,10.0,4.26
220,220,11.0,4.62
221,221,9.0,4.84
222,222,12.0,5.0
223,223,14.0,5.26
224,224,-4.0,5.12
225,225,14.0,5.36
226,226,16.0,5.62
227,227,12.0,5.88
228,228,-1.0,5.78
229,229,7.0,5.88
230,230,15.0,6.08
231,231,13.0,6.26
232,232,5.0,6.26
233,233,4.0,6.42
234,234,11.0,6.52
235,235,12.0,6.68
236,236,17.0,6.86
237,237,16.0,7.06
238,238,14.0,7.24
239,239,11.0,7.3
240,240,10.0,7.32
241,241,13.0,7.5
242,242,16.0,7.76
