,Episode,Score,Moving Average Score (n=50)
0,0,-21.0,-21.0
1,1,-18.0,-19.5
2,2,-21.0,-20.0
3,3,-18.0,-19.5
4,4,-21.0,-19.8
5,5,-21.0,-20.0
6,6,-19.0,-19.857142857142858
7,7,-21.0,-20.0
8,8,-20.0,-20.0
9,9,-19.0,-19.9
10,10,-20.0,-19.90909090909091
11,11,-21.0,-20.0
12,12,-20.0,-20.0
13,13,-20.0,-20.0
14,14,-20.0,-20.0
15,15,-21.0,-20.0625
16,16,-21.0,-20.11764705882353
17,17,-20.0,-20.11111111111111
18,18,-20.0,-20.105263157894736
19,19,-20.0,-20.1
20,20,-20.0,-20.095238095238095
21,21,-20.0,-20.09090909090909
22,22,-21.0,-20.130434782608695
23,23,-20.0,-20.125
24,24,-21.0,-20.16
25,25,-20.0,-20.153846153846153
26,26,-20.0,-20.14814814814815
27,27,-20.0,-20.142857142857142
28,28,-20.0,-20.137931034482758
29,29,-20.0,-20.133333333333333
30,30,-20.0,-20.129032258064516
31,31,-18.0,-20.0625
32,32,-20.0,-20.060606060606062
33,33,-21.0,-20.08823529411765
34,34,-19.0,-20.057142857142857
35,35,-21.0,-20.083333333333332
36,36,-21.0,-20.10810810810811
37,37,-20.0,-20.105263157894736
38,38,-19.0,-20.076923076923077
39,39,-21.0,-20.1
40,40,-21.0,-20.121951219512194
41,41,-21.0,-20.142857142857142
42,42,-20.0,-20.13953488372093
43,43,-21.0,-20.15909090909091
44,44,-21.0,-20.177777777777777
45,45,-21.0,-20.195652173913043
46,46,-21.0,-20.21276595744681
47,47,-21.0,-20.229166666666668
48,48,-21.0,-20.244897959183675
49,49,-20.0,-20.24
50,50,-20.0,-20.22
51,51,-20.0,-20.26
52,52,-20.0,-20.24
53,53,-19.0,-20.26
54,54,-20.0,-20.24
55,55,-19.0,-20.2
56,56,-21.0,-20.24
57,57,-21.0,-20.24
58,58,-20.0,-20.24
59,59,-19.0,-20.24
60,60,-20.0,-20.24
61,61,-17.0,-20.16
62,62,-18.0,-20.12
63,63,-18.0,-20.08
64,64,-21.0,-20.1
65,65,-18.0,-20.04
66,66,-20.0,-20.02
67,67,-19.0,-20.0
68,68,-19.0,-19.98
69,69,-21.0,-20.0
70,70,-21.0,-20.02
71,71,-20.0,-20.02
72,72,-18.0,-19.96
73,73,-20.0,-19.96
74,74,-20.0,-19.94
75,75,-19.0,-19.92
76,76,-20.0,-19.92
77,77,-21.0,-19.94
78,78,-20.0,-19.94
79,79,-19.0,-19.92
80,80,-18.0,-19.88
81,81,-18.0,-19.88
82,82,-19.0,-19.86
83,83,-21.0,-19.86
84,84,-18.0,-19.84
85,85,-20.0,-19.82
86,86,-20.0,-19.8
87,87,-20.0,-19.8
88,88,-18.0,-19.78
89,89,-20.0,-19.76
90,90,-19.0,-19.72
91,91,-18.0,-19.66
92,92,-21.0,-19.68
93,93,-18.0,-19.62
94,94,-20.0,-19.6
95,95,-19.0,-19.56
96,96,-18.0,-19.5
97,97,-19.0,-19.46
98,98,-20.0,-19.44
99,99,-17.0,-19.38
100,100,-19.0,-19.36
101,101,-17.0,-19.3
102,102,-16.0,-19.22
103,103,-20.0,-19.24
104,104,-17.0,-19.18
105,105,-18.0,-19.16
106,106,-16.0,-19.06
107,107,-15.0,-18.94
108,108,-17.0,-18.88
109,109,-17.0,-18.84
110,110,-15.0,-18.74
111,111,-18.0,-18.76
112,112,-16.0,-18.72
113,113,-18.0,-18.72
114,114,-17.0,-18.64
115,115,-17.0,-18.62
116,116,-14.0,-18.5
117,117,-11.0,-18.34
118,118,-18.0,-18.32
119,119,-15.0,-18.2
120,120,-15.0,-18.08
121,121,-16.0,-18.0
122,122,-18.0,-18.0
123,123,-17.0,-17.94
124,124,-15.0,-17.84
125,125,-14.0,-17.74
126,126,-14.0,-17.62
127,127,-13.0,-17.46
128,128,-13.0,-17.32
129,129,-15.0,-17.24
130,130,-9.0,-17.06
131,131,-13.0,-16.96
132,132,-16.0,-16.9
133,133,-13.0,-16.74
134,134,-12.0,-16.62
135,135,-11.0,-16.44
136,136,-14.0,-16.32
137,137,-10.0,-16.12
138,138,-9.0,-15.94
139,139,-14.0,-15.82
140,140,-11.0,-15.66
141,141,-13.0,-15.56
142,142,-11.0,-15.36
143,143,-12.0,-15.24
144,144,-9.0,-15.02
145,145,-4.0,-14.72
146,146,-11.0,-14.58
147,147,-9.0,-14.38
148,148,-7.0,-14.12
149,149,-8.0,-13.94
150,150,-8.0,-13.72
151,151,-4.0,-13.46
152,152,-11.0,-13.36
153,153,-8.0,-13.12
154,154,-10.0,-12.98
155,155,-4.0,-12.7
156,156,-7.0,-12.52
157,157,-8.0,-12.38
158,158,-5.0,-12.14
159,159,-8.0,-11.96
160,160,-2.0,-11.7
161,161,-6.0,-11.46
162,162,-6.0,-11.26
163,163,-9.0,-11.08
164,164,-10.0,-10.94
165,165,-8.0,-10.76
166,166,-10.0,-10.68
167,167,-6.0,-10.58
168,168,-5.0,-10.32
169,169,-10.0,-10.22
170,170,-7.0,-10.06
171,171,-7.0,-9.88
172,172,-8.0,-9.68
173,173,-4.0,-9.42
174,174,-5.0,-9.22
175,175,-7.0,-9.08
176,176,-7.0,-8.94
177,177,-9.0,-8.86
178,178,-8.0,-8.76
179,179,-5.0,-8.56
180,180,-5.0,-8.48
181,181,-4.0,-8.3
182,182,-9.0,-8.16
183,183,-13.0,-8.16
184,184,-7.0,-8.06
185,185,-4.0,-7.92
186,186,-4.0,-7.72
187,187,-1.0,-7.54
188,188,-5.0,-7.46
189,189,-3.0,-7.24
190,190,-3.0,-7.08
191,191,-1.0,-6.84
192,192,-4.0,-6.7
193,193,-5.0,-6.56
194,194,-2.0,-6.42
195,195,-3.0,-6.4
196,196,-6.0,-6.3
197,197,-2.0,-6.16
198,198,2.0,-5.98
199,199,-3.0,-5.88
200,200,1.0,-5.7
201,201,-7.0,-5.76
202,202,-6.0,-5.66
203,203,1.0,-5.48
204,204,1.0,-5.26
205,205,-3.0,-5.24
206,206,-2.0,-5.14
207,207,1.0,-4.96
208,208,-4.0,-4.94
209,209,-2.0,-4.82
210,210,-1.0,-4.8
211,211,-2.0,-4.72
212,212,-3.0,-4.66
213,213,3.0,-4.42
214,214,2.0,-4.18
215,215,-1.0,-4.04
216,216,7.0,-3.7
217,217,-3.0,-3.64
218,218,-3.0,-3.6
219,219,-3.0,-3.46
220,220,-3.0,-3.38
221,221,3.0,-3.18
222,222,-2.0,-3.06
223,223,3.0,-2.92
224,224,-1.0,-2.84
225,225,-3.0,-2.76
226,226,-3.0,-2.68
227,227,1.0,-2.48
228,228,6.0,-2.2
229,229,2.0,-2.06
230,230,3.0,-1.9
231,231,6.0,-1.7
232,232,3.0,-1.46
233,233,2.0,-1.16
234,234,5.0,-0.92
235,235,8.0,-0.68
236,236,10.0,-0.4
237,237,9.0,-0.2
238,238,9.0,0.08
239,239,7.0,0.28
240,240,9.0,0.52
241,241,11.0,0.76
242,242,13.0,1.1
243,243,2.0,1.24
244,244,5.0,1.38
245,245,3.0,1.5
246,246,11.0,1.84
247,247,8.0,2.04
248,248,11.0,2.22
249,249,1.0,2.3
250,250,15.0,2.58
251,251,14.0,3.0
252,252,10.0,3.32
253,253,12.0,3.54
254,254,11.0,3.74
255,255,10.0,4.0
256,256,14.0,4.32
257,257,14.0,4.58
258,258,15.0,4.96
259,259,11.0,5.22
260,260,11.0,5.46
261,261,12.0,5.74
262,262,11.0,6.02
263,263,15.0,6.26
264,264,10.0,6.42
265,265,13.0,6.7
266,266,5.0,6.66
267,267,6.0,6.84
268,268,6.0,7.02
269,269,13.0,7.34
270,270,13.0,7.66
271,271,12.0,7.84
272,272,15.0,8.18
273,273,9.0,8.3
274,274,12.0,8.56
275,275,10.0,8.82
276,276,12.0,9.12
277,277,15.0,9.4
278,278,11.0,9.5
279,279,12.0,9.7
280,280,12.0,9.88
281,281,12.0,10.0
282,282,14.0,10.22
283,283,16.0,10.5
284,284,10.0,10.6
285,285,10.0,10.64
286,286,7.0,10.58
287,287,11.0,10.62
288,288,14.0,10.72
289,289,11.0,10.8
290,290,15.0,10.92
291,291,13.0,10.96
292,292,15.0,11.0
293,293,7.0,11.1
294,294,11.0,11.22
295,295,11.0,11.38
296,296,17.0,11.5
297,297,10.0,11.54
298,298,16.0,11.64
299,299,15.0,11.92
300,300,12.0,11.86
301,301,14.0,11.86
302,302,9.0,11.84
303,303,14.0,11.88
304,304,15.0,11.96
305,305,18.0,12.12
306,306,15.0,12.14
307,307,11.0,12.08
308,308,15.0,12.08
309,309,16.0,12.18
310,310,17.0,12.3
311,311,14.0,12.34
312,312,17.0,12.46
313,313,14.0,12.44
314,314,14.0,12.52
315,315,19.0,12.64
316,316,7.0,12.68
317,317,17.0,12.9
318,318,14.0,13.06
319,319,14.0,13.08
320,320,13.0,13.08
321,321,11.0,13.06
322,322,12.0,13.0
323,323,17.0,13.16
324,324,19.0,13.3
325,325,17.0,13.44
326,326,18.0,13.56
327,327,16.0,13.58
328,328,16.0,13.68
329,329,13.0,13.7
330,330,17.0,13.8
331,331,16.0,13.88
332,332,15.0,13.9
333,333,15.0,13.88
334,334,16.0,14.0
335,335,11.0,14.02
336,336,16.0,14.2
337,337,14.0,14.26
338,338,13.0,14.24
339,339,20.0,14.42
340,340,13.0,14.38
341,341,16.0,14.44
342,342,19.0,14.52
343,343,17.0,14.72
344,344,19.0,14.88
345,345,12.0,14.9
346,346,16.0,14.88
347,347,16.0,15.0
348,348,18.0,15.04
349,349,13.0,15.0
350,350,11.0,14.98
351,351,15.0,15.0
