,Episode,Score,Moving Average Score (n=50)
0,0,-21.0,-21.0
1,1,-21.0,-21.0
2,2,-20.0,-20.666666666666668
3,3,-19.0,-20.25
4,4,-20.0,-20.2
5,5,-20.0,-20.166666666666668
6,6,-21.0,-20.285714285714285
7,7,-21.0,-20.375
8,8,-20.0,-20.333333333333332
9,9,-21.0,-20.4
10,10,-21.0,-20.454545454545453
11,11,-20.0,-20.416666666666668
12,12,-19.0,-20.307692307692307
13,13,-19.0,-20.214285714285715
14,14,-20.0,-20.2
15,15,-21.0,-20.25
16,16,-21.0,-20.294117647058822
17,17,-20.0,-20.27777777777778
18,18,-21.0,-20.31578947368421
19,19,-20.0,-20.3
20,20,-21.0,-20.333333333333332
21,21,-21.0,-20.363636363636363
22,22,-21.0,-20.391304347826086
23,23,-21.0,-20.416666666666668
24,24,-20.0,-20.4
25,25,-21.0,-20.423076923076923
26,26,-20.0,-20.40740740740741
27,27,-21.0,-20.428571428571427
28,28,-19.0,-20.379310344827587
29,29,-21.0,-20.4
30,30,-20.0,-20.387096774193548
31,31,-19.0,-20.34375
32,32,-20.0,-20.333333333333332
33,33,-19.0,-20.294117647058822
34,34,-20.0,-20.285714285714285
35,35,-20.0,-20.27777777777778
36,36,-20.0,-20.27027027027027
37,37,-21.0,-20.289473684210527
38,38,-20.0,-20.28205128205128
39,39,-21.0,-20.3
40,40,-18.0,-20.24390243902439
41,41,-20.0,-20.238095238095237
42,42,-21.0,-20.25581395348837
43,43,-21.0,-20.272727272727273
44,44,-20.0,-20.266666666666666
45,45,-20.0,-20.26086956521739
46,46,-21.0,-20.27659574468085
47,47,-19.0,-20.25
48,48,-21.0,-20.26530612244898
49,49,-18.0,-20.22
50,50,-19.0,-20.18
51,51,-20.0,-20.16
52,52,-21.0,-20.18
53,53,-19.0,-20.18
54,54,-18.0,-20.14
55,55,-19.0,-20.12
56,56,-16.0,-20.02
57,57,-21.0,-20.02
58,58,-20.0,-20.02
59,59,-20.0,-20.0
60,60,-19.0,-19.96
61,61,-20.0,-19.96
62,62,-17.0,-19.92
63,63,-18.0,-19.9
64,64,-20.0,-19.9
65,65,-17.0,-19.82
66,66,-18.0,-19.76
67,67,-18.0,-19.72
68,68,-18.0,-19.66
69,69,-20.0,-19.66
70,70,-20.0,-19.64
71,71,-19.0,-19.6
72,72,-18.0,-19.54
73,73,-20.0,-19.52
74,74,-16.0,-19.44
75,75,-20.0,-19.42
76,76,-17.0,-19.36
77,77,-15.0,-19.24
78,78,-16.0,-19.18
79,79,-18.0,-19.12
80,80,-18.0,-19.08
81,81,-18.0,-19.06
82,82,-21.0,-19.08
83,83,-18.0,-19.06
84,84,-13.0,-18.92
85,85,-18.0,-18.88
86,86,-17.0,-18.82
87,87,-15.0,-18.7
88,88,-15.0,-18.6
89,89,-16.0,-18.5
90,90,-19.0,-18.52
91,91,-15.0,-18.42
92,92,-18.0,-18.36
93,93,-17.0,-18.28
94,94,-17.0,-18.22
95,95,-17.0,-18.16
96,96,-14.0,-18.02
97,97,-13.0,-17.9
98,98,-20.0,-17.88
99,99,-13.0,-17.78
100,100,-12.0,-17.64
101,101,-14.0,-17.52
102,102,-14.0,-17.38
103,103,-15.0,-17.3
104,104,-15.0,-17.24
105,105,-14.0,-17.14
106,106,-14.0,-17.1
107,107,-14.0,-16.96
108,108,-10.0,-16.76
109,109,-14.0,-16.64
110,110,-16.0,-16.58
111,111,-15.0,-16.48
112,112,-15.0,-16.44
113,113,-10.0,-16.28
114,114,-12.0,-16.12
115,115,-15.0,-16.08
116,116,-12.0,-15.96
117,117,-13.0,-15.86
118,118,-11.0,-15.72
119,119,-11.0,-15.54
120,120,-14.0,-15.42
121,121,-11.0,-15.26
122,122,-13.0,-15.16
123,123,-13.0,-15.02
124,124,-9.0,-14.88
125,125,-10.0,-14.68
126,126,-11.0,-14.56
127,127,-10.0,-14.46
128,128,-10.0,-14.34
129,129,-8.0,-14.14
130,130,-13.0,-14.04
131,131,-7.0,-13.82
132,132,-10.0,-13.6
133,133,-9.0,-13.42
134,134,-7.0,-13.3
135,135,-5.0,-13.04
136,136,-10.0,-12.9
137,137,-6.0,-12.72
138,138,-10.0,-12.62
139,139,-6.0,-12.42
140,140,-13.0,-12.3
141,141,-7.0,-12.14
142,142,-6.0,-11.9
143,143,-10.0,-11.76
144,144,-12.0,-11.66
145,145,-6.0,-11.44
146,146,-4.0,-11.24
147,147,-9.0,-11.16
148,148,-6.0,-10.88
149,149,-6.0,-10.74
150,150,-2.0,-10.54
151,151,-4.0,-10.34
152,152,-3.0,-10.12
153,153,-5.0,-9.92
154,154,-6.0,-9.74
155,155,-6.0,-9.58
156,156,-8.0,-9.46
157,157,-8.0,-9.34
158,158,-8.0,-9.3
159,159,-6.0,-9.14
160,160,-7.0,-8.96
161,161,1.0,-8.64
162,162,-6.0,-8.46
163,163,-2.0,-8.3
164,164,-6.0,-8.18
165,165,-3.0,-7.94
166,166,-5.0,-7.8
167,167,-5.0,-7.64
168,168,-2.0,-7.46
169,169,-1.0,-7.26
170,170,-7.0,-7.12
171,171,-1.0,-6.92
172,172,-2.0,-6.7
173,173,1.0,-6.42
174,174,-6.0,-6.36
175,175,-4.0,-6.24
176,176,-1.0,-6.04
177,177,2.0,-5.8
178,178,-5.0,-5.7
179,179,-3.0,-5.6
180,180,3.0,-5.28
181,181,2.0,-5.1
182,182,3.0,-4.84
183,183,-5.0,-4.76
184,184,7.0,-4.48
185,185,3.0,-4.32
186,186,2.0,-4.08
187,187,3.0,-3.9
188,188,4.0,-3.62
189,189,7.0,-3.36
190,190,-4.0,-3.18
191,191,5.0,-2.94
192,192,1.0,-2.8
193,193,10.0,-2.4
194,194,5.0,-2.06
195,195,5.0,-1.84
196,196,9.0,-1.58
197,197,6.0,-1.28
198,198,3.0,-1.1
199,199,8.0,-0.82
200,200,6.0,-0.66
201,201,6.0,-0.46
202,202,4.0,-0.32
203,203,8.0,-0.06
204,204,11.0,0.28
205,205,9.0,0.58
206,206,4.0,0.82
207,207,7.0,1.12
208,208,4.0,1.36
209,209,11.0,1.7
210,210,7.0,1.98
211,211,-4.0,1.88
212,212,5.0,2.1
213,213,5.0,2.24
214,214,1.0,2.38
215,215,1.0,2.46
216,216,8.0,2.72
217,217,4.0,2.9
218,218,11.0,3.16
219,219,-1.0,3.16
220,220,5.0,3.4
221,221,5.0,3.52
222,222,9.0,3.74
223,223,10.0,3.92
224,224,4.0,4.12
225,225,5.0,4.3
226,226,3.0,4.38
227,227,7.0,4.48
228,228,5.0,4.68
229,229,5.0,4.84
230,230,10.0,4.98
231,231,4.0,5.02
232,232,7.0,5.1
233,233,8.0,5.36
234,234,8.0,5.38
235,235,7.0,5.46
236,236,8.0,5.58
237,237,9.0,5.7
238,238,-1.0,5.6
239,239,-1.0,5.44
240,240,-1.0,5.5
241,241,7.0,5.54
